Timestamp,"MCSS.MA8240
Apparent Power
(kVA)","MCSS.MA8240
Current Avg
(A)","MCSS.MA8240
Power Factor
(%)","MCSS.MA8240
Real Power
(kW)",,,,,,,,,,,,,,,,,,
9/15/2020 19:15,"3,599.29",160.56,,"-3,560.86",,,,,,,,,,,,,,,,,,
9/15/2020 19:30,"3,619.45",161.68,,"-3,581.36",,,,,,,,,,,,,,,,,,
9/15/2020 19:45,"3,568.64",159.53,,"-3,531.35",,,,,,,,,,,,,,,,,,
9/15/2020 20:00,"3,587.07",160.21,,"-3,549.75",,,,,,,,,,,,,,,,,,
9/15/2020 20:15,"3,579.12",159.75,,"-3,542.94",,,,,,,,,,,,,,,,,,
9/15/2020 20:30,"3,557.18",158.78,,"-3,521.29",,,,,,,,,,,,,,,,,,
9/15/2020 20:45,"3,455.20",154.06,,"-3,417.34",,,,,,,,,,,,,,,,,,
9/15/2020 21:00,"3,398.35",151.34,,"-3,360.80",,,,,,,,,,,,,,,,,,
9/15/2020 21:15,"3,383.06",150.62,,"-3,343.29",,,,,,,,,,,,,,,,,,
9/15/2020 21:30,"3,261.30",146.24,,"-3,218.32",,,,,,,,,,,,,,,,,,
9/15/2020 21:45,"3,327.47",149.05,,"-3,285.41",,,,,,,,,,,,,,,,,,
9/15/2020 22:00,"3,257.90",145.96,,"-3,213.97",,,,,,,,,,,,,,,,,,
9/15/2020 22:15,"3,215.74",144.13,,"-3,171.18",,,,,,,,,,,,,,,,,,
9/15/2020 22:30,"3,123.90",139.88,,"-3,077.50",,,,,,,,,,,,,,,,,,
9/15/2020 22:45,"3,166.79",141.67,,"-3,120.54",,,,,,,,,,,,,,,,,,
9/15/2020 23:00,"3,126.54",139.87,,"-3,078.85",,,,,,,,,,,,,,,,,,
9/15/2020 23:15,"3,046.09",136.16,,"-2,996.68",,,,,,,,,,,,,,,,,,
9/15/2020 23:30,"2,942.76",131.92,,"-2,892.06",,,,,,,,,,,,,,,,,,
9/15/2020 23:45,"2,878.33",128.86,,"-2,825.56",,,,,,,,,,,,,,,,,,
9/16/2020 0:00,"2,817.75",126.22,,"-2,762.79",,,,,,,,,,,,,,,,,,
9/16/2020 0:15,"2,824.54",126.68,,"-2,768.57",,,,,,,,,,,,,,,,,,
9/16/2020 0:30,"2,816.96",126.29,,"-2,761.99",,,,,,,,,,,,,,,,,,
9/16/2020 0:45,"2,782.80",124.83,,"-2,724.30",,,,,,,,,,,,,,,,,,
9/16/2020 1:00,"2,772.20",124.27,,"-2,715.68",,,,,,,,,,,,,,,,,,
9/16/2020 1:15,"2,730.77",122.42,,"-2,671.25",,,,,,,,,,,,,,,,,,
9/16/2020 1:30,"2,742.35",122.89,,"-2,684.64",,,,,,,,,,,,,,,,,,
9/16/2020 1:45,"2,733.00",122.61,,"-2,675.77",,,,,,,,,,,,,,,,,,
9/16/2020 2:00,"2,698.59",121.03,,"-2,638.92",,,,,,,,,,,,,,,,,,
9/16/2020 2:15,"2,677.32",120.15,,"-2,617.19",,,,,,,,,,,,,,,,,,
9/16/2020 2:30,"2,640.93",118.51,,"-2,577.43",,,,,,,,,,,,,,,,,,
9/16/2020 2:45,"2,644.37",118.66,,"-2,582.85",,,,,,,,,,,,,,,,,,
9/16/2020 3:00,"2,562.30",114.98,,"-2,496.49",,,,,,,,,,,,,,,,,,
9/16/2020 3:15,"2,529.43",113.45,,"-2,463.47",,,,,,,,,,,,,,,,,,
9/16/2020 3:30,"2,526.28",113.25,,"-2,460.94",,,,,,,,,,,,,,,,,,
9/16/2020 3:45,"2,496.97",111.89,,"-2,432.12",,,,,,,,,,,,,,,,,,
9/16/2020 4:00,"2,546.77",114.13,,"-2,481.24",,,,,,,,,,,,,,,,,,
9/16/2020 4:15,"2,604.95",116.75,,"-2,542.00",,,,,,,,,,,,,,,,,,
9/16/2020 4:30,"2,811.47",125.85,,"-2,753.52",,,,,,,,,,,,,,,,,,
9/16/2020 4:45,"3,142.41",140.62,,"-3,094.57",,,,,,,,,,,,,,,,,,
9/16/2020 5:00,"3,605.70",161.44,,"-3,569.93",,,,,,,,,,,,,,,,,,
9/16/2020 5:15,"3,544.38",158.82,,"-3,507.62",,,,,,,,,,,,,,,,,,
9/16/2020 5:30,"3,509.13",157.24,,"-3,471.56",,,,,,,,,,,,,,,,,,
9/16/2020 5:45,"3,378.76",151.54,,"-3,339.15",,,,,,,,,,,,,,,,,,
9/16/2020 6:00,"3,222.22",144.65,,"-3,177.70",,,,,,,,,,,,,,,,,,
9/16/2020 6:15,"3,125.46",140.26,,"-3,079.31",,,,,,,,,,,,,,,,,,
9/16/2020 6:30,"3,046.17",136.78,,"-2,998.47",,,,,,,,,,,,,,,,,,
9/16/2020 6:45,"3,065.14",137.64,,"-3,018.12",,,,,,,,,,,,,,,,,,
9/16/2020 7:00,"3,053.78",137.24,,"-3,004.64",,,,,,,,,,,,,,,,,,
9/16/2020 7:15,"3,005.34",135.06,,"-2,956.18",,,,,,,,,,,,,,,,,,
9/16/2020 7:30,"2,953.14",132.78,,"-2,900.98",,,,,,,,,,,,,,,,,,
9/16/2020 7:45,"2,821.96",126.85,,"-2,767.05",,,,,,,,,,,,,,,,,,
9/16/2020 8:00,"2,653.84",119.5,,"-2,594.69",,,,,,,,,,,,,,,,,,
9/16/2020 8:15,"2,638.06",118.9,,"-2,576.03",,,,,,,,,,,,,,,,,,
9/16/2020 8:30,"2,688.19",121.24,,"-2,628.61",,,,,,,,,,,,,,,,,,
9/16/2020 8:45,"2,729.98",123.16,,"-2,670.69",,,,,,,,,,,,,,,,,,
9/16/2020 9:00,"2,810.71",126.87,,"-2,758.64",,,,,,,,,,,,,,,,,,
9/16/2020 9:15,"2,904.89",131.06,,"-2,851.26",,,,,,,,,,,,,,,,,,
9/16/2020 9:30,"3,156.45",142.45,,"-3,107.45",,,,,,,,,,,,,,,,,,
9/16/2020 9:45,"3,240.33",146.36,,"-3,193.75",,,,,,,,,,,,,,,,,,
9/16/2020 10:00,"3,854.28",174.1,,"-3,820.40",,,,,,,,,,,,,,,,,,
9/16/2020 10:15,"3,726.59",168.51,,"-3,690.52",,,,,,,,,,,,,,,,,,
9/16/2020 10:30,"3,881.56",175.67,,"-3,848.54",,,,,,,,,,,,,,,,,,
9/16/2020 10:45,"3,908.04",177.02,,"-3,875.20",,,,,,,,,,,,,,,,,,
9/16/2020 11:00,"3,965.41",179.07,,"-3,933.56",,,,,,,,,,,,,,,,,,
9/16/2020 11:15,"3,992.58",180.59,,"-3,961.92",,,,,,,,,,,,,,,,,,
9/16/2020 11:30,"4,004.88",181.1,,"-3,975.84",,,,,,,,,,,,,,,,,,
9/16/2020 11:45,"4,001.03",181.08,,"-3,971.64",,,,,,,,,,,,,,,,,,
9/16/2020 12:00,"4,173.08",188.77,,"-4,145.68",,,,,,,,,,,,,,,,,,
9/16/2020 12:15,"4,163.62",188.49,,"-4,135.87",,,,,,,,,,,,,,,,,,
9/16/2020 12:30,"4,137.45",187,,"-4,109.19",,,,,,,,,,,,,,,,,,
9/16/2020 12:45,"4,085.21",184.79,,"-4,055.97",,,,,,,,,,,,,,,,,,
9/16/2020 13:00,"4,135.44",187.29,,"-4,107.40",,,,,,,,,,,,,,,,,,
9/16/2020 13:15,"4,304.49",194.88,,"-4,277.83",,,,,,,,,,,,,,,,,,
9/16/2020 13:30,"4,331.84",196.34,,"-4,306.10",,,,,,,,,,,,,,,,,,
9/16/2020 13:45,"4,324.09",195,,"-4,297.61",,,,,,,,,,,,,,,,,,
9/16/2020 14:00,"4,339.25",195.46,,"-4,313.50",,,,,,,,,,,,,,,,,,
9/16/2020 14:15,"4,005.90",180.43,,"-3,976.70",,,,,,,,,,,,,,,,,,
9/16/2020 14:30,"3,977.98",179.12,,"-3,946.81",,,,,,,,,,,,,,,,,,
9/16/2020 14:45,"4,378.97",197.23,,"-4,352.16",,,,,,,,,,,,,,,,,,
9/16/2020 15:00,"4,575.69",206.12,,"-4,551.78",,,,,,,,,,,,,,,,,,
9/16/2020 15:15,"4,530.37",203.96,,"-4,506.04",,,,,,,,,,,,,,,,,,
9/16/2020 15:30,"4,517.87",203.36,,"-4,493.33",,,,,,,,,,,,,,,,,,
9/16/2020 15:45,"4,526.28",203.91,,"-4,501.22",,,,,,,,,,,,,,,,,,
9/16/2020 16:00,"4,514.86",202.9,,"-4,489.83",,,,,,,,,,,,,,,,,,
9/16/2020 16:15,"4,581.05",205.82,,"-4,556.82",,,,,,,,,,,,,,,,,,
9/16/2020 16:30,"4,462.39",200.46,,"-4,437.45",,,,,,,,,,,,,,,,,,
9/16/2020 16:45,"4,354.45",195.61,,"-4,330.18",,,,,,,,,,,,,,,,,,
9/16/2020 17:00,"4,178.83",187.7,,"-4,149.51",,,,,,,,,,,,,,,,,,
9/16/2020 17:15,"4,027.47",180.99,,"-3,995.00",,,,,,,,,,,,,,,,,,
9/16/2020 17:30,"3,742.17",168.22,,"-3,705.69",,,,,,,,,,,,,,,,,,
9/16/2020 17:45,"3,742.68",168.1,,"-3,704.88",,,,,,,,,,,,,,,,,,
9/16/2020 18:00,"3,728.55",167.56,,"-3,691.67",,,,,,,,,,,,,,,,,,
9/16/2020 18:15,"3,762.94",169.04,,"-3,727.03",,,,,,,,,,,,,,,,,,
9/16/2020 18:30,"3,667.21",164.72,,"-3,629.28",,,,,,,,,,,,,,,,,,
9/16/2020 18:45,"3,560.81",159.95,,"-3,521.04",,,,,,,,,,,,,,,,,,
9/16/2020 19:00,"3,530.87",158.31,,"-3,493.22",,,,,,,,,,,,,,,,,,
9/16/2020 19:15,"3,530.71",158.37,,"-3,489.50",,,,,,,,,,,,,,,,,,
9/16/2020 19:30,"3,593.03",161.29,,"-3,554.06",,,,,,,,,,,,,,,,,,
9/16/2020 19:45,"3,612.34",162.22,,"-3,575.58",,,,,,,,,,,,,,,,,,
9/16/2020 20:00,"3,614.77",162.42,,"-3,575.94",,,,,,,,,,,,,,,,,,
9/16/2020 20:15,"3,582.24",160.82,,"-3,544.43",,,,,,,,,,,,,,,,,,
9/16/2020 20:30,"3,529.86",158.36,,"-3,489.28",,,,,,,,,,,,,,,,,,
9/16/2020 20:45,"3,546.06",158.85,,"-3,507.11",,,,,,,,,,,,,,,,,,
9/16/2020 21:00,"3,612.74",161.61,,"-3,573.71",,,,,,,,,,,,,,,,,,
9/16/2020 21:15,"3,646.07",163.17,,"-3,610.55",,,,,,,,,,,,,,,,,,
9/16/2020 21:30,"3,588.50",160.59,,"-3,551.31",,,,,,,,,,,,,,,,,,
9/16/2020 21:45,"3,568.72",159.52,,"-3,530.06",,,,,,,,,,,,,,,,,,
9/16/2020 22:00,"3,550.94",158.79,,"-3,512.77",,,,,,,,,,,,,,,,,,
9/16/2020 22:15,"3,525.52",157.43,,"-3,484.93",,,,,,,,,,,,,,,,,,
9/16/2020 22:30,"3,706.51",165.4,,"-3,670.72",,,,,,,,,,,,,,,,,,
9/16/2020 22:45,"3,674.92",163.83,,"-3,637.43",,,,,,,,,,,,,,,,,,
9/16/2020 23:00,"3,655.99",163.08,,"-3,617.81",,,,,,,,,,,,,,,,,,
9/16/2020 23:15,"3,615.96",161.17,,"-3,578.38",,,,,,,,,,,,,,,,,,
9/16/2020 23:30,"3,569.55",161.04,,"-3,529.84",,,,,,,,,,,,,,,,,,
9/16/2020 23:45,"3,551.09",160.06,,"-3,511.13",,,,,,,,,,,,,,,,,,
9/17/2020 0:00,"3,515.26",158.38,,"-3,475.98",,,,,,,,,,,,,,,,,,
9/17/2020 0:15,"3,460.78",155.85,,"-3,418.19",,,,,,,,,,,,,,,,,,
9/17/2020 0:30,"3,395.91",152.93,,"-3,353.49",,,,,,,,,,,,,,,,,,
9/17/2020 0:45,"3,385.62",152.37,,"-3,341.95",,,,,,,,,,,,,,,,,,
9/17/2020 1:00,"3,368.49",151.57,,"-3,325.38",,,,,,,,,,,,,,,,,,
9/17/2020 1:15,"3,328.78",149.67,,"-3,286.04",,,,,,,,,,,,,,,,,,
9/17/2020 1:30,"3,368.92",151.4,,"-3,325.70",,,,,,,,,,,,,,,,,,
9/17/2020 1:45,"3,332.74",149.69,,"-3,288.92",,,,,,,,,,,,,,,,,,
9/17/2020 2:00,"3,336.58",149.87,,"-3,292.12",,,,,,,,,,,,,,,,,,
9/17/2020 2:15,"3,272.18",146.94,,"-3,228.11",,,,,,,,,,,,,,,,,,
9/17/2020 2:30,"3,312.01",148.72,,"-3,268.82",,,,,,,,,,,,,,,,,,
9/17/2020 2:45,"3,290.69",147.83,,"-3,245.51",,,,,,,,,,,,,,,,,,
9/17/2020 3:00,"3,248.43",146.12,,"-3,204.05",,,,,,,,,,,,,,,,,,
9/17/2020 3:15,"3,238.45",145.66,,"-3,192.63",,,,,,,,,,,,,,,,,,
9/17/2020 3:30,"3,230.45",145.3,,"-3,183.83",,,,,,,,,,,,,,,,,,
9/17/2020 3:45,"3,219.49",144.89,,"-3,173.30",,,,,,,,,,,,,,,,,,
9/17/2020 4:00,"3,263.04",146.75,,"-3,216.99",,,,,,,,,,,,,,,,,,
9/17/2020 4:15,"3,185.88",143.41,,"-3,139.38",,,,,,,,,,,,,,,,,,
9/17/2020 4:30,"3,200.75",144.04,,"-3,154.89",,,,,,,,,,,,,,,,,,
9/17/2020 4:45,"3,166.97",142.5,,"-3,119.50",,,,,,,,,,,,,,,,,,
9/17/2020 5:00,"3,209.92",144.62,,"-3,163.88",,,,,,,,,,,,,,,,,,
9/17/2020 5:15,"3,215.94",144.84,,"-3,170.21",,,,,,,,,,,,,,,,,,
9/17/2020 5:30,"3,285.83",148.03,,"-3,241.63",,,,,,,,,,,,,,,,,,
9/17/2020 5:45,"3,349.06",151.12,,"-3,305.52",,,,,,,,,,,,,,,,,,
9/17/2020 6:00,"3,369.47",152.03,,"-3,326.11",,,,,,,,,,,,,,,,,,
9/17/2020 6:15,"3,169.23",143.25,,"-3,122.54",,,,,,,,,,,,,,,,,,
9/17/2020 6:30,"3,462.20",156.49,,"-3,420.84",,,,,,,,,,,,,,,,,,
9/17/2020 6:45,"3,428.68",154.94,,"-3,385.76",,,,,,,,,,,,,,,,,,
9/17/2020 7:00,"3,400.84",153.93,,"-3,357.73",,,,,,,,,,,,,,,,,,
9/17/2020 7:15,"3,466.05",156.67,,"-3,424.95",,,,,,,,,,,,,,,,,,
9/17/2020 7:30,"3,518.98",159.18,,"-3,478.20",,,,,,,,,,,,,,,,,,
9/17/2020 7:45,"3,258.33",147.52,,"-3,212.63",,,,,,,,,,,,,,,,,,
9/17/2020 8:00,"3,624.82",164.06,,"-3,586.83",,,,,,,,,,,,,,,,,,
9/17/2020 8:15,"3,348.20",151.47,,"-3,305.40",,,,,,,,,,,,,,,,,,
9/17/2020 8:30,"3,666.40",165.73,,"-3,630.31",,,,,,,,,,,,,,,,,,
9/17/2020 8:45,"3,684.21",166.67,,"-3,645.82",,,,,,,,,,,,,,,,,,
9/17/2020 9:00,"3,778.53",170.99,,"-3,743.58",,,,,,,,,,,,,,,,,,
9/17/2020 9:15,"3,772.86",170.87,,"-3,737.45",,,,,,,,,,,,,,,,,,
9/17/2020 9:30,"3,831.95",173.55,,"-3,796.71",,,,,,,,,,,,,,,,,,
9/17/2020 9:45,"3,922.39",177.77,,"-3,890.23",,,,,,,,,,,,,,,,,,
9/17/2020 10:00,"3,946.75",178.79,,"-3,913.80",,,,,,,,,,,,,,,,,,
9/17/2020 10:15,"3,814.05",172.65,,"-3,777.01",,,,,,,,,,,,,,,,,,
9/17/2020 10:30,"3,838.32",173.2,,"-3,804.88",,,,,,,,,,,,,,,,,,
9/17/2020 10:45,"4,094.77",184.66,,"-4,065.92",,,,,,,,,,,,,,,,,,
9/17/2020 11:00,"3,851.67",173.58,,"-3,818.72",,,,,,,,,,,,,,,,,,
9/17/2020 11:15,"4,056.23",182.2,,"-4,030.71",,,,,,,,,,,,,,,,,,
9/17/2020 11:30,"4,056.69",182.36,,"-4,030.55",,,,,,,,,,,,,,,,,,
9/17/2020 11:45,"3,586.92",161.16,,"-3,554.91",,,,,,,,,,,,,,,,,,
9/17/2020 12:00,"3,761.54",168.81,,"-3,732.59",,,,,,,,,,,,,,,,,,
9/17/2020 12:15,"3,783.34",169.85,,"-3,755.01",,,,,,,,,,,,,,,,,,
9/17/2020 12:30,"3,411.17",153.35,,"-3,374.20",,,,,,,,,,,,,,,,,,
9/17/2020 12:45,"3,799.99",170.73,,"-3,764.79",,,,,,,,,,,,,,,,,,
9/17/2020 13:00,"3,795.64",170.61,,"-3,762.88",,,,,,,,,,,,,,,,,,
9/17/2020 13:15,"3,817.06",171.5,,"-3,785.74",,,,,,,,,,,,,,,,,,
9/17/2020 13:30,"3,792.50",170.33,,"-3,760.14",,,,,,,,,,,,,,,,,,
9/17/2020 13:45,"3,852.64",173.04,,"-3,821.27",,,,,,,,,,,,,,,,,,
9/17/2020 14:00,"3,404.02",153.06,,"-3,363.86",,,,,,,,,,,,,,,,,,
9/17/2020 14:15,"3,772.49",169.6,,"-3,736.70",,,,,,,,,,,,,,,,,,
9/17/2020 14:30,"3,806.20",170.97,,"-3,769.42",,,,,,,,,,,,,,,,,,
9/17/2020 14:45,"3,763.81",169.19,,"-3,728.81",,,,,,,,,,,,,,,,,,
9/17/2020 15:00,"3,823.38",171.74,,"-3,788.89",,,,,,,,,,,,,,,,,,
9/17/2020 15:15,"3,958.66",177.72,,"-3,928.05",,,,,,,,,,,,,,,,,,
9/17/2020 15:30,"3,897.74",175.02,,"-3,865.56",,,,,,,,,,,,,,,,,,
9/17/2020 15:45,"3,811.27",171.05,,"-3,775.65",,,,,,,,,,,,,,,,,,
9/17/2020 16:00,"3,774.28",169.41,,"-3,740.76",,,,,,,,,,,,,,,,,,
9/17/2020 16:15,"3,790.94",170.1,,"-3,758.79",,,,,,,,,,,,,,,,,,
9/17/2020 16:30,"3,801.94",170.62,,"-3,769.45",,,,,,,,,,,,,,,,,,
9/17/2020 16:45,"3,418.45",153.54,,"-3,374.76",,,,,,,,,,,,,,,,,,
9/17/2020 17:00,"3,771.72",169.18,,"-3,736.67",,,,,,,,,,,,,,,,,,
9/17/2020 17:15,"3,782.48",169.69,,"-3,747.26",,,,,,,,,,,,,,,,,,
9/17/2020 17:30,"3,851.08",172.76,,"-3,817.09",,,,,,,,,,,,,,,,,,
9/17/2020 17:45,"3,964.74",178.08,,"-3,932.75",,,,,,,,,,,,,,,,,,
9/17/2020 18:00,"4,072.60",182.92,,"-4,043.05",,,,,,,,,,,,,,,,,,
9/17/2020 18:15,"4,044.93",181.64,,"-4,013.61",,,,,,,,,,,,,,,,,,
9/17/2020 18:30,"4,081.35",183.32,,"-4,051.95",,,,,,,,,,,,,,,,,,
9/17/2020 18:45,"3,991.43",179.26,,"-3,961.32",,,,,,,,,,,,,,,,,,
9/17/2020 19:00,"4,050.31",181.82,,"-4,020.57",,,,,,,,,,,,,,,,,,
9/17/2020 19:15,"4,067.25",182.54,,"-4,036.83",,,,,,,,,,,,,,,,,,
9/17/2020 19:30,"4,082.23",183.32,,"-4,051.77",,,,,,,,,,,,,,,,,,
9/17/2020 19:45,"4,000.78",179.92,,"-3,968.87",,,,,,,,,,,,,,,,,,
9/17/2020 20:00,"3,970.72",178.38,,"-3,938.65",,,,,,,,,,,,,,,,,,
9/17/2020 20:15,"3,897.32",175.03,,"-3,865.42",,,,,,,,,,,,,,,,,,
9/17/2020 20:30,"3,922.10",176.13,,"-3,892.21",,,,,,,,,,,,,,,,,,
9/17/2020 20:45,"3,866.69",173.54,,"-3,834.72",,,,,,,,,,,,,,,,,,
9/17/2020 21:00,"3,903.15",174.97,,"-3,872.70",,,,,,,,,,,,,,,,,,
9/17/2020 21:15,"3,838.04",171.89,,"-3,804.86",,,,,,,,,,,,,,,,,,
9/17/2020 21:30,"3,774.68",168.99,,"-3,739.53",,,,,,,,,,,,,,,,,,
9/17/2020 21:45,"3,796.70",170.07,,"-3,762.96",,,,,,,,,,,,,,,,,,
9/17/2020 22:00,"3,724.60",166.73,,"-3,689.83",,,,,,,,,,,,,,,,,,
9/17/2020 22:15,"3,773.51",168.81,,"-3,741.31",,,,,,,,,,,,,,,,,,
9/17/2020 22:30,"3,704.67",165.84,,"-3,668.77",,,,,,,,,,,,,,,,,,
9/17/2020 22:45,"3,651.97",164.15,,"-3,614.61",,,,,,,,,,,,,,,,,,
9/17/2020 23:00,"3,573.48",160.51,,"-3,535.45",,,,,,,,,,,,,,,,,,
9/17/2020 23:15,"3,467.46",155.7,,"-3,424.66",,,,,,,,,,,,,,,,,,
9/17/2020 23:30,"3,545.01",158.87,,"-3,504.37",,,,,,,,,,,,,,,,,,
9/17/2020 23:45,"3,563.18",159.5,,"-3,523.33",,,,,,,,,,,,,,,,,,
9/18/2020 0:00,"3,572.31",159.82,,"-3,533.71",,,,,,,,,,,,,,,,,,
9/18/2020 0:15,"3,502.16",156.58,,"-3,460.76",,,,,,,,,,,,,,,,,,
9/18/2020 0:30,"3,455.80",154.46,,"-3,413.69",,,,,,,,,,,,,,,,,,
9/18/2020 0:45,"3,416.80",152.65,,"-3,374.08",,,,,,,,,,,,,,,,,,
9/18/2020 1:00,"3,345.41",149.51,,"-3,301.16",,,,,,,,,,,,,,,,,,
9/18/2020 1:15,"3,380.03",150.96,,"-3,336.44",,,,,,,,,,,,,,,,,,
9/18/2020 1:30,"3,317.07",148.13,,"-3,271.45",,,,,,,,,,,,,,,,,,
9/18/2020 1:45,"3,332.47",148.79,,"-3,287.25",,,,,,,,,,,,,,,,,,
9/18/2020 2:00,"3,318.33",148.11,,"-3,272.73",,,,,,,,,,,,,,,,,,
9/18/2020 2:15,"3,290.17",146.79,,"-3,243.46",,,,,,,,,,,,,,,,,,
9/18/2020 2:30,"3,363.68",150.05,,"-3,319.37",,,,,,,,,,,,,,,,,,
9/18/2020 2:45,"3,351.71",149.59,,"-3,308.17",,,,,,,,,,,,,,,,,,
9/18/2020 3:00,"3,334.59",149.21,,"-3,289.47",,,,,,,,,,,,,,,,,,
9/18/2020 3:15,"3,325.92",148.99,,"-3,281.92",,,,,,,,,,,,,,,,,,
9/18/2020 3:30,"3,291.63",147.37,,"-3,245.04",,,,,,,,,,,,,,,,,,
9/18/2020 3:45,"3,309.00",148.02,,"-3,262.43",,,,,,,,,,,,,,,,,,
9/18/2020 4:00,"3,289.18",147.16,,"-3,242.69",,,,,,,,,,,,,,,,,,
9/18/2020 4:15,"3,249.36",145.4,,"-3,203.86",,,,,,,,,,,,,,,,,,
9/18/2020 4:30,"3,201.34",143.27,,"-3,153.09",,,,,,,,,,,,,,,,,,
9/18/2020 4:45,"3,195.58",143,,"-3,147.84",,,,,,,,,,,,,,,,,,
9/18/2020 5:00,"3,242.09",145.21,,"-3,197.00",,,,,,,,,,,,,,,,,,
9/18/2020 5:15,"3,252.63",145.71,,"-3,205.92",,,,,,,,,,,,,,,,,,
9/18/2020 5:30,"3,355.67",150.39,,"-3,312.04",,,,,,,,,,,,,,,,,,
9/18/2020 5:45,"3,260.88",146.12,,"-3,215.56",,,,,,,,,,,,,,,,,,
9/18/2020 6:00,"3,206.20",143.89,,"-3,158.79",,,,,,,,,,,,,,,,,,
9/18/2020 6:15,"3,242.65",145.73,,"-3,195.90",,,,,,,,,,,,,,,,,,
9/18/2020 6:30,"3,266.04",146.87,,"-3,220.70",,,,,,,,,,,,,,,,,,
9/18/2020 6:45,"3,355.74",150.84,,"-3,310.93",,,,,,,,,,,,,,,,,,
9/18/2020 7:00,"3,314.18",149.02,,"-3,268.18",,,,,,,,,,,,,,,,,,
9/18/2020 7:15,"3,398.94",152.74,,"-3,354.48",,,,,,,,,,,,,,,,,,
9/18/2020 7:30,"3,356.36",151.01,,"-3,308.79",,,,,,,,,,,,,,,,,,
9/18/2020 7:45,"3,362.01",151.37,,"-3,317.58",,,,,,,,,,,,,,,,,,
9/18/2020 8:00,"3,415.42",153.67,,"-3,372.38",,,,,,,,,,,,,,,,,,
9/18/2020 8:15,"3,414.75",153.78,,"-3,371.42",,,,,,,,,,,,,,,,,,
9/18/2020 8:30,"3,470.63",156.32,,"-3,428.49",,,,,,,,,,,,,,,,,,
9/18/2020 8:45,"3,484.99",156.8,,"-3,443.36",,,,,,,,,,,,,,,,,,
9/18/2020 9:00,"3,506.58",157.88,,"-3,464.84",,,,,,,,,,,,,,,,,,
9/18/2020 9:15,"3,543.18",159.76,,"-3,501.84",,,,,,,,,,,,,,,,,,
9/18/2020 9:30,"3,359.52",151.51,,"-3,309.98",,,,,,,,,,,,,,,,,,
9/18/2020 9:45,"3,617.44",163.19,,"-3,575.34",,,,,,,,,,,,,,,,,,
9/18/2020 10:00,"3,715.75",167.53,,"-3,676.39",,,,,,,,,,,,,,,,,,
9/18/2020 10:15,"3,480.85",157.08,,"-3,436.23",,,,,,,,,,,,,,,,,,
9/18/2020 10:30,"3,534.93",159.61,,"-3,494.10",,,,,,,,,,,,,,,,,,
9/18/2020 10:45,"3,574.33",161.43,,"-3,532.51",,,,,,,,,,,,,,,,,,
9/18/2020 11:00,"3,664.69",165.68,,"-3,623.81",,,,,,,,,,,,,,,,,,
